Folder,Phase,PSNR_Region,PSNR_Outside,SSIM_Region,SSIM_Outside_Avg,LPIPS_Region,LPIPS_Full,FID_Full,FID_Region
001,preTuning,32.37,37.03,0.9609,0.9641,0.0821,0.0588,93.5247,116.9161
007,preTuning,15.98,16.45,0.8255,0.8578,0.3479,0.3565,225.5084,160.7708
001,postTuning,33.53,37.2,0.9702,0.9714,0.0711,0.0515,90.5044,111.089
007,postTuning,16.09,16.52,0.8318,0.8631,0.334,0.3444,203.4076,145.8422
