Folder,Phase,PSNR_Region,PSNR_Outside,SSIM_Region,SSIM_Outside_Avg,LPIPS_Region,LPIPS_Full,FID_Full,FID_Region
1,preTuning,26.95,28.59,0.8995,0.9078,0.1019,0.1273,131.3382,164.1357
12,preTuning,20.71,15.07,0.9422,0.7635,0.2441,0.3793,265.9446,276.2452
1,postTuning,30.32,29.83,0.9498,0.9366,0.0725,0.1054,108.2872,130.5254
12,postTuning,21.31,15.47,0.9487,0.7864,0.2171,0.3606,246.2801,261.5623
